ProdID,AirTemp,ProcTemp,Rotation,Torque,ToolWear,Failure
L47181,298.2,308.7,1408,46.3,3,0
L47182,298.1,308.5,1498,49.4,5,0
L47183,298.2,308.6,1433,39.5,7,0
L47184,298.2,308.7,1408,40,9,0
L47186,298.1,308.6,1558,42.4,14,0
L47187,298.1,308.6,1527,40.2,16,0
L47194,298.6,309.2,2035,19.6,40,0
L47195,298.6,309.2,1542,48.4,42,0
L47201,298.8,309.3,1450,44.8,63,0
L47203,299,309.4,1758,25.7,68,0
L47205,299,309.5,1861,23.3,73,0
L47206,299.1,309.5,1512,39,75,0
L47208,299.1,309.4,1439,44.2,82,0
L47209,299,309.4,1693,30.1,84,0
L47211,299,309.4,1798,25.5,89,0
L47212,299,309.4,1419,48.3,91,0
L47213,298.9,309.3,1665,32.5,93,0
L47217,298.8,309.1,1439,39.2,104,0
L47219,298.8,309.1,1350,52.5,111,0
L47220,298.8,309.1,1362,45.4,113,0
L47221,298.8,309.1,1368,50.8,115,0
L47225,298.8,309.1,1489,49.1,128,0
L47227,298.8,309.1,1418,46.3,133,0
L47230,298.9,309.1,2861,4.6,143,1
L47231,298.9,309.1,1383,54.9,145,0
L47233,298.7,309,1565,35.1,152,0
L47234,298.7,309,1691,30.1,154,0
L47235,298.8,309.1,1512,40.7,156,0
L47236,298.8,309.1,1477,42.4,158,0
L47237,298.8,309.1,1513,40.3,160,0
L47239,298.8,309.1,1378,54.4,165,0
L47240,298.8,309.1,1393,52.6,167,0
L47242,298.8,309,1829,22.9,172,0
L47244,299,309.1,1523,38.6,177,0
L47245,299,309.1,1394,45.1,179,0
L47248,298.8,308.9,1527,32.4,189,0
L47249,298.9,309,1410,65.7,191,1
L47251,298.9,309.1,1452,45.5,196,0
L47252,298.9,309.1,1369,44.4,198,0
L47253,299,309.1,1592,35,200,0
L47254,298.9,309,1601,32.3,202,0
L47255,298.8,308.9,1379,46.7,204,0
L47256,298.8,308.9,1461,47.9,206,0
L47257,298.8,308.9,1455,41.3,208,1
L47258,298.8,308.9,1398,51.5,0,0
L47259,298.8,308.9,1402,37.9,2,0
L47261,298.9,308.9,1450,47.5,9,0
L47262,298.9,308.9,1453,40.8,11,0
L47263,299,309,1469,40.1,13,0
L47264,298.9,308.9,1422,47.6,15,0
L47267,299,309,1544,31.8,25,0
L47270,298.9,308.9,1753,25.8,33,0
L47271,298.9,308.9,1830,24.9,35,0
L47273,299.1,309,1450,43,40,0
L47274,299,308.9,1622,31.9,42,0
L47278,298.9,308.8,1529,32.7,53,0
L47279,298.8,308.8,1523,44.4,55,0
L47280,298.8,308.9,1852,25,57,0
L47281,298.8,308.8,1991,20.7,59,0
L47282,298.8,308.8,1555,40.6,61,0
L47284,298.8,308.7,1450,43.4,66,0
L47285,298.8,308.7,1591,31.1,68,0
L47286,298.8,308.7,1445,48.5,70,0
L47289,298.9,308.7,1572,34.1,80,0
L47290,298.8,308.6,1872,22.5,82,0
L47294,298.8,308.6,1680,29.4,95,0
L47295,298.8,308.6,1431,45.7,97,0
L47296,298.9,308.7,1564,34.1,99,0
L47297,298.8,308.6,1599,33,101,0
L47299,298.7,308.5,1467,40.7,106,0
L47300,298.9,308.7,1433,44.7,108,0
L47301,298.9,308.7,1558,41.2,110,0
L47302,299,308.8,1310,50.7,112,0
L47303,298.9,308.7,1546,43.4,114,0
L47304,298.9,308.7,1727,29.4,116,0
L47305,298.9,308.6,1560,32.2,118,0
L47306,299,308.6,1329,60.5,120,0
L47307,298.9,308.6,1413,46.5,122,0
L47308,299,308.6,1587,38.6,124,0
L47309,298.9,308.5,1559,34.3,126,0
L47310,298.8,308.4,1473,41.1,128,0
L47311,298.8,308.4,1737,27.7,130,0
L47314,298.8,308.4,1369,53,138,0
L47317,298.7,308.6,1297,55.3,148,0
L47319,298.8,308.6,1268,55.8,155,0
L47320,298.8,308.6,1511,36.1,157,0
L47321,298.7,308.5,1544,35.2,159,0
L47325,298.5,308.4,1513,33.6,172,0
L47327,298.4,308.4,1515,40.1,179,0
L47329,298.4,308.3,1473,39.9,184,0
L47330,298.4,308.3,1422,42.7,186,0
L47333,298.4,308.2,1850,27,194,0
L47334,298.4,308.2,1528,36.2,196,0
L47339,298.4,308.2,1471,47,214,0
L47340,298.4,308.2,1282,60.7,216,1
L47341,298.3,308.1,1412,52.3,218,1
L47342,298.3,308.1,1586,35.5,0,0
L47345,298.5,308.4,1733,26,8,0
L47348,298.4,308.3,1433,62.3,20,1
L47349,298.4,308.3,1318,59.1,22,0
L47351,298.2,308.1,1462,50.8,27,0
L47354,298.2,308.1,1306,58.3,35,0
L47355,298.2,308.1,1382,43.5,37,0
L47356,298.2,308.1,1618,34.7,39,0
L47357,298.2,308.2,1988,21.4,41,0
L47358,298.2,308.2,1436,50.2,43,0
L47359,298.2,308.3,1304,49.8,45,0
L47360,298.2,308.3,1475,49.9,47,0
L47363,298.1,308.2,1485,40.7,57,0
L47364,298.2,308.2,1667,30.6,59,0
L47365,298.2,308.2,1446,38.2,61,0
L47366,298.1,308.3,1301,56,63,0
L47367,298.2,308.4,1379,43.1,65,0
L47368,298.3,308.5,1606,33.6,67,0
L47370,298.2,308.4,1477,49.9,72,0
L47371,298.2,308.4,1666,34.6,74,0
L47375,298.3,308.5,1453,42.9,89,0
L47378,298.4,308.7,1588,35,99,0
L47379,298.4,308.6,1433,47.1,101,0
L47380,298.4,308.6,1609,35,103,0
L47381,298.3,308.5,1575,41.2,105,0
L47383,298.4,308.5,1490,37.9,110,0
L47384,298.4,308.5,1741,32.8,112,0
L47386,298.5,308.7,1609,35.3,117,0
L47388,298.4,308.6,1591,36.7,122,0
L47389,298.4,308.6,1477,44,124,0
L47390,298.4,308.7,1523,36.1,126,0
L47391,298.5,308.7,1575,33.9,128,0
L47393,298.4,308.7,1386,44.9,135,0
L47395,298.3,308.6,1548,40.3,140,0
L47396,298.3,308.6,1499,38.3,142,0
L47397,298.3,308.5,1664,31.6,144,0
L47398,298.3,308.6,1447,38.1,146,0
L47400,298.3,308.5,1416,52.7,151,0
L47402,298.4,308.6,1304,45,158,0
L47403,298.4,308.6,1569,34.4,160,0
L47404,298.3,308.6,1584,29.3,162,0
L47405,298.3,308.5,1362,53.8,164,0
L47406,298.3,308.4,1329,49.2,166,0
L47407,298.3,308.5,1539,36.1,168,0
L47409,298.3,308.5,1538,32.2,173,0
L47410,298.3,308.6,1570,34.8,175,0
L47411,298.3,308.4,1408,43.1,177,0
L47412,298.2,308.4,1424,47.6,179,0
L47413,298.2,308.4,1512,34.9,181,0
L47414,298.2,308.4,1478,42.9,183,0
L47416,298.1,308.3,1495,38.7,188,0
L47418,297.9,308.1,1393,50.3,193,0
L47419,298,308.2,1611,30.6,195,0
L47421,298,308.1,1777,24.3,200,0
L47422,298,308.2,1348,58.8,202,1
L47423,298,308.2,1442,44.1,204,0
L47426,297.9,308.1,1585,33.5,212,0
L47427,298,308.2,1469,45.5,214,0
L47428,298,308.3,1362,56.8,216,1
L47429,298,308.3,1405,56.2,218,1
L47430,298,308.3,1662,32.7,0,0
L47432,298,308.2,1620,35.8,5,0
L47433,298,308.2,1357,48.2,7,0
L47434,298,308.2,1514,37.9,9,0
L47435,298,308.2,1489,40.4,11,0
L47436,298.1,308.3,1331,63,13,0
L47437,298,308,1615,29.5,15,0
L47438,298.1,308.2,1482,37.9,17,0
L47441,298.1,308.2,1654,32.1,25,0
L47444,298.1,308.2,1390,47.5,33,0
L47445,298,308.1,1454,37.1,35,0
L47447,297.9,308,1954,21.1,42,0
L47449,298,308,1524,37,49,0
L47452,298.1,308.1,1484,40.4,59,0
L47453,298.1,308,1426,46,61,0
L47454,298.1,308,1652,28.5,63,0
L47455,298,308,1401,54.7,65,0
L47459,298,308.1,1819,23.4,78,0
L47461,298.1,308,1626,36.5,83,0
L47463,298.2,308.2,1469,43,88,0
L47464,298.2,308.3,2051,19.2,90,0
L47465,298.2,308.3,1568,36,92,0
L47466,298.2,308.3,1589,33.2,94,0
L47467,298.2,308.3,1805,31.6,96,0
L47469,298.1,308.4,1436,46.7,103,0
L47470,298.1,308.4,1438,45.6,105,0
L47471,298,308.3,1473,42.6,107,0
L47472,298.1,308.4,1335,40.2,109,0
L47476,298,308.5,1395,46.2,122,0
L47477,298,308.5,1713,25.3,124,0
L47480,297.8,308.4,1622,38.3,134,0
L47481,297.7,308.4,1740,27.1,136,0
L47484,297.8,308.4,1737,27.5,146,0
L47485,297.8,308.4,2129,19.2,148,0
L47486,297.8,308.4,1374,47.1,150,0
L47488,297.9,308.5,1305,47.2,155,0
L47492,297.9,308.6,1468,36,168,0
L47493,298,308.6,1313,50.8,170,0
L47495,297.9,308.4,1646,40.6,175,0
L47496,297.8,308.4,1714,33.2,177,0
L47497,297.8,308.4,1685,28.4,179,0
L47498,297.8,308.4,1512,39.9,181,0
L47499,297.8,308.4,1612,32.1,183,0
L47501,297.8,308.4,1518,32.5,190,0
L47502,297.8,308.5,1448,40,192,0
L47503,297.8,308.5,1561,46.3,194,0
L47505,297.8,308.5,1699,27.8,199,0
L47506,297.7,308.5,1501,41.4,201,0
L47507,297.7,308.5,1373,56.7,203,1
L47513,297.5,308.2,1647,31.3,3,0
L47515,297.4,308.1,1749,25.9,8,0
L47517,297.6,308.3,1742,27.7,13,0
L47518,297.5,308.2,1563,38.2,15,0
L47520,297.4,308.1,1474,39.4,20,0
L47522,297.4,308.2,1471,46.5,25,0
L47523,297.5,308.3,1388,48.6,27,0
L47525,297.5,308.3,1585,32.9,32,0
L47527,297.5,308.3,1544,40.8,37,0
L47528,297.6,308.3,1617,31.7,39,0
L47529,297.6,308.3,1595,34.3,41,0
L47534,297.6,308.3,1658,34.3,59,0
L47535,297.6,308.3,1623,36.9,61,0
L47537,297.6,308.4,1517,34.2,66,0
L47541,297.5,308.3,1596,36.8,77,0
L47543,297.6,308.3,1438,47.8,84,0
L47544,297.6,308.4,1407,55.2,86,0
L47545,297.6,308.4,1353,57.5,88,0
L47548,297.5,308.4,1489,39.5,96,0
L47551,297.5,308.4,1604,38.1,106,0
L47553,297.4,308.3,1412,42,111,0
L47554,297.4,308.3,1431,43,113,0
L47555,297.4,308.2,1533,37.4,115,0
L47558,297.3,308.2,1754,29.4,123,0
L47559,297.3,308.2,1754,26.8,125,0
L47560,297.5,308.3,2564,12.8,127,1
L47561,297.5,308.5,1546,40.4,129,0
L47562,297.5,308.5,1335,48,131,0
L47564,297.5,308.5,1712,26.8,136,0
L47566,297.6,308.7,1319,50.9,141,0
L47567,297.7,308.7,1249,60.4,143,0
L47568,297.6,308.7,1455,48.2,145,0
L47570,297.6,308.7,1460,46.7,150,0
L47571,297.6,308.6,1491,38.1,152,0
L47574,297.5,308.4,1528,39.9,160,0
L47575,297.4,308.3,1571,37.7,162,0
L47576,297.4,308.3,1490,42.6,164,0
L47579,297.4,308.4,1392,49.7,174,0
L47580,297.4,308.5,2100,16.9,176,0
L47581,297.5,308.5,1722,30.4,178,0
L47582,297.4,308.6,1678,32.3,180,0
L47583,297.3,308.6,1273,59.8,182,0
L47584,297.3,308.6,1297,45.9,184,0
L47585,297.3,308.5,1350,57.6,186,0
L47586,297.4,308.6,1439,51.9,188,0
L47589,297.4,308.6,1459,41.3,196,0
L47591,297.5,308.7,1429,44.3,201,0
L47592,297.5,308.6,1388,48.2,203,0
L47593,297.4,308.4,1573,34.5,205,0
L47594,297.4,308.4,1588,32.5,207,0
L47595,297.5,308.4,1511,42.8,209,0
L47596,297.4,308.5,1495,37.8,211,0
L47597,297.4,308.4,1394,50.1,213,0
L47598,297.4,308.4,2151,17.7,0,0
L47602,297.3,308.3,1333,55.2,11,0
L47603,297.3,308.3,1484,43.9,13,0
L47604,297.3,308.4,1430,45.7,15,0
L47606,297.4,308.5,1501,44.9,20,0
L47609,297.5,308.6,1208,62.3,28,0
L47610,297.5,308.6,1596,37.1,30,0
L47611,297.5,308.5,1446,41.9,32,0
L47615,297.4,308.3,1493,41.2,43,0
L47616,297.3,308.3,1504,36.3,45,0
L47617,297.3,308.3,1538,38.5,47,0
L47618,297.4,308.4,1341,52.2,49,0
L47620,297.4,308.5,1389,39.2,54,0
L47622,297.4,308.5,1399,61.5,61,1
L47624,297.4,308.4,1582,37.2,68,0
L47625,297.5,308.6,1793,26.7,70,0
L47626,297.5,308.6,1452,39,72,0
L47628,297.5,308.6,1552,44.9,77,0
L47629,297.6,308.7,1622,37.9,79,0
L47633,297.4,308.7,1510,36.2,92,0
L47634,297.4,308.7,1468,46.6,94,0
L47635,297.4,308.7,1429,57.4,96,0
L47637,297.4,308.6,1276,53.6,103,0
L47638,297.3,308.6,1486,42.6,105,0
L47639,297.4,308.6,1476,42.3,107,0
L47641,297.4,308.7,1402,40.2,114,0
L47642,297.4,308.7,1433,43.4,116,0
L47643,297.4,308.7,2874,4.2,118,1
L47644,297.3,308.6,1511,35.7,120,0
L47646,297.2,308.5,1550,41.5,125,0
L47647,297.2,308.5,2182,16.5,127,0
L47648,297.3,308.7,1619,31.6,129,0
L47654,297.4,309.1,1478,49.8,150,0
L47655,297.4,309.1,1380,41.1,152,0
L47656,297.4,309,1570,37.9,154,0
L47658,297.4,309,1833,22.6,161,0
L47660,297.4,309,1583,32,166,0
L47662,297.3,309,1548,37.4,171,0
L47663,297.4,309,1324,56.9,173,0
L47664,297.4,309,1568,33.7,175,0
L47668,297.4,309.2,1584,42.8,186,0
L47670,297.4,309.2,1459,37.9,191,0
L47671,297.4,309.2,1420,45.6,193,0
L47672,297.5,309.3,1404,43.5,195,0
L47673,297.5,309.3,1470,38.8,197,0
L47674,297.6,309.4,1326,49.8,199,0
L47677,297.4,309,1505,39.2,209,0
L47678,297.5,309.1,1611,30.2,211,0
L47679,297.5,309.1,1515,35.1,213,0
L47682,297.6,309.2,1390,43.3,221,0
L47685,297.6,309.3,1610,35,6,0
L47686,297.6,309.3,1543,34.3,8,0
L47688,297.7,309.3,1893,24.6,15,0
L47690,297.5,309.3,1564,37.5,20,0
L47691,297.5,309.3,1479,39.4,22,0
L47692,297.5,309.2,1426,44.8,24,0
L47693,297.4,309.2,1428,38.8,26,0
L47694,297.4,309.2,1620,33.2,28,0
L47695,297.5,309.2,1715,28,30,0
L47696,297.5,309.3,1732,29.9,32,0
L47698,297.6,309.5,1924,20.6,37,0
L47700,297.6,309.5,1617,36.2,42,0
L47701,297.5,309.4,1497,35.8,44,0
L47703,297.4,309.4,1401,45.9,49,0
L47704,297.4,309.4,1620,35.4,51,0
L47705,297.4,309.4,1466,45.5,53,0
L47706,297.6,309.5,1373,50.6,55,0
L47709,297.6,309.5,1569,36.2,63,0
L47711,297.6,309.5,1549,34.9,68,0
L47712,297.5,309.4,1443,45.4,70,0
L47713,297.5,309.3,1675,29.8,72,0
L47714,297.5,309.3,1623,33.4,74,0
L47716,297.4,309.3,1759,24.8,81,0
L47720,297.4,309.4,1473,45.5,94,0
L47721,297.4,309.4,1296,52.3,96,0
L47722,297.5,309.4,1803,24.7,98,0
L47725,297.6,309.4,1958,22.1,108,0
L47726,297.5,309.4,1809,24.3,110,0
L47728,297.4,309.3,1332,53.2,115,0
L47729,297.4,309.2,1437,40.4,117,0
L47730,297.4,309.2,1698,29.4,119,0
L47731,297.4,309.2,1274,54.3,121,0
L47736,297.5,309.4,1357,50.1,137,0
L47738,297.5,309.4,1650,34.6,142,0
L47739,297.5,309.4,1503,40.6,144,0
L47740,297.5,309.4,1318,58.2,146,0
L47742,297.6,309.5,1574,30.9,151,0
L47743,297.7,309.6,1529,35.2,153,0
L47748,297.8,309.7,1935,22.1,171,0
L47750,297.7,309.7,1498,41,176,0
L47752,297.8,309.9,1351,49,181,0
L47753,297.9,309.9,1472,45,183,0
L47757,297.7,309.7,1591,37.7,196,0
L47758,297.8,309.8,1533,36.8,198,0
L47761,297.8,309.7,1394,42.9,206,0
L47762,297.8,309.7,1341,49.2,208,0
L47765,297.6,309.5,2001,20.5,220,0
L47766,297.6,309.6,1501,49.8,222,1
L47768,297.6,309.4,1628,33.4,229,0
L47769,297.6,309.4,1491,40.2,231,0
L47770,297.5,309.4,1517,36.7,233,0
L47773,297.5,309.6,1312,50.7,0,0
L47778,297.7,309.6,1480,47.9,18,0
L47780,297.8,309.7,1547,37.3,25,0
L47781,297.9,309.7,2194,16.8,27,0
L47782,297.9,309.8,2000,21.3,29,0
L47783,297.9,309.8,1336,71.6,31,1
L47784,297.9,309.9,1542,33.8,33,0
L47786,297.9,309.8,1461,50.5,38,0
L47788,298,309.9,1403,47.7,43,0
L47789,298.1,309.9,1629,32.5,45,0
L47790,298.1,310,1534,33.7,47,0
L47791,298.1,310,1553,40.9,49,0
L47792,298.1,309.9,1563,32.8,51,0
L47793,298.1,309.9,1634,30,53,0
L47795,298.1,309.9,1642,30.4,58,0
L47799,298.3,310,1507,44.7,73,0
L47801,298.3,310.1,1408,45.3,78,0
L47803,298.4,310.1,1926,23.7,83,0
L47805,298.3,310.1,1545,36.3,90,0
L47806,298.4,310.1,1533,35.2,92,0
L47807,298.4,310.1,1455,42.2,94,0
L47809,298.3,310.1,1523,45.9,99,0
L47810,298.3,310,1460,47.6,101,0
L47811,298.4,310,1554,37.3,103,0
L47813,298.3,310,1442,43.9,110,0
L47814,298.3,309.9,1507,41.6,112,0
L47815,298.3,310,1858,23.9,114,0
L47816,298.3,309.9,1463,43.9,116,0
L47817,298.2,309.7,1585,37.4,118,0
L47818,298,309.6,1536,37.3,120,0
L47819,298,309.6,1403,51.3,122,0
L47821,297.9,309.5,1390,47.9,127,0
L47825,297.7,309.4,1392,44.1,140,0
L47827,297.7,309.3,1559,36.9,145,0
L47830,297.6,309.2,1611,33.1,155,0
L47831,297.6,309.1,1503,38.9,157,0
L47832,297.7,309.2,1391,44.5,159,0
L47833,297.8,309.3,2015,20.1,161,0
L47834,297.8,309.2,1683,30.9,163,0
L47835,297.7,309.1,1435,38.8,165,0
L47837,297.7,309.2,1365,58.6,170,0
L47838,297.7,309.1,1562,36.8,172,0
L47839,297.6,309.1,1449,49.1,174,0
L47843,297.5,308.9,1469,44,185,0
L47844,297.5,308.9,1390,47.4,187,0
L47845,297.5,308.9,1729,28.1,189,0
L47846,297.5,309,1470,43.5,191,0
L47847,297.5,308.9,1459,48.5,193,0
L47848,297.5,308.9,1738,24,195,0
L47850,297.6,309,1822,25.4,202,0
L47851,297.5,308.9,1554,34.8,204,0
L47853,297.6,308.9,1449,47.7,209,0
L47854,297.8,309,1456,41.2,0,0
L47857,297.9,309.2,1478,39.7,10,0
L47859,297.8,309.2,1372,47.3,15,0
L47863,297.7,309,1874,24.4,28,0
L47864,297.7,309,1538,43.2,30,0
L47871,297.7,309.1,1563,39.3,56,0
L47872,297.7,309.1,1479,42.1,58,0
L47873,297.7,309.1,1477,38.3,60,0
L47874,297.6,309.1,1394,50,62,0
L47875,297.6,309,1487,45.4,64,0
L47878,297.6,308.8,1539,40.2,72,0
L47881,297.7,308.8,1515,40.1,82,0
L47884,297.7,308.9,1516,33.7,92,0
L47885,297.7,309,1507,38.2,94,0
L47887,297.7,308.9,1838,27.3,99,0
L47891,297.5,308.7,1443,46.2,110,0
L47892,297.5,308.7,1453,37.6,112,0
L47893,297.4,308.6,1439,46.4,114,0
L47894,297.4,308.6,1609,36.2,116,0
L47895,297.4,308.6,1324,59.1,118,0
L47897,297.4,308.7,1545,36.9,125,0
L47898,297.5,308.8,1477,39,127,0
L47899,297.4,308.8,1447,58.1,129,0
L47900,297.4,308.9,1809,23.8,131,0
L47901,297.5,308.9,1696,30.9,133,0
L47902,297.5,308.9,1427,44.7,135,0
L47904,297.5,308.9,1390,44.6,140,0
L47905,297.4,308.8,1640,34.2,142,0
L47909,297.3,308.6,1586,37.7,155,0
L47912,297.2,308.6,1924,22.1,163,0
L47915,296.9,308.4,1557,32.4,173,0
L47916,296.9,308.3,1555,38.2,175,0
L47918,296.8,308.3,1506,45.9,182,0
L47919,296.9,308.4,1390,41.8,184,0
L47921,296.9,308.3,1513,38.8,189,0
L47922,296.8,308.2,1643,34.7,191,0
L47923,296.8,308.2,1361,53.8,193,0
L47924,296.7,308.1,1450,40.9,195,0
L47925,296.7,308,1451,50.7,197,0
L47926,296.8,308.1,1289,62,199,1
L47927,296.8,308.1,1356,48.3,201,0
L47929,296.6,308,1978,22.3,208,0
L47930,296.7,308,1535,36.8,210,0
L47932,296.9,308.1,1422,48.7,215,0
L47933,296.8,308,1536,40.4,217,0
L47936,296.8,308,1584,40.4,227,0
L47937,296.9,308.1,1555,33.7,229,0
L47938,296.8,308,1497,41.7,231,0
L47940,296.7,307.8,1505,39.4,236,0
L47941,296.7,307.8,1646,34.6,238,0
L47943,296.7,307.8,1400,47.5,3,0
L47944,296.8,307.9,1337,56.5,5,0
L47945,296.9,308,1332,53.9,7,0
L47946,296.8,308,1561,38.3,9,0
L47947,296.9,308,1546,31.1,11,0
L47948,296.9,308,1713,29.3,13,0
L47949,296.9,308,1343,44.5,15,0
L47950,296.8,308,1391,54.4,17,0
L47953,296.8,308,1510,39.4,29,0
L47954,296.8,307.9,1448,48.8,31,0
L47955,296.7,307.8,1453,46,33,0
L47956,296.7,307.8,1468,39.2,35,0
L47957,296.7,307.8,1382,47.5,37,0
L47958,296.7,308,1580,32.2,39,0
L47959,296.8,308,1666,29.8,41,0
L47961,296.8,308,1675,29.7,46,0
L47962,296.8,307.9,1698,30.8,48,0
L47964,296.7,307.9,1743,27.9,55,0
L47966,296.9,308.1,1741,28.8,60,0
L47967,296.9,308.1,1435,45.3,62,0
L47970,296.8,307.9,1420,45.4,70,0
L47971,296.8,307.9,1611,35.4,72,0
L47972,296.8,307.8,1373,42.9,74,0
L47975,296.9,307.8,1605,37,84,0
L47977,296.8,307.7,1565,40.1,89,0
L47981,296.9,307.8,1285,52.1,100,0
L47982,296.9,307.8,1571,35,102,0
L47987,297,307.7,1867,22.8,118,0
L47988,296.9,307.7,1424,43.3,120,0
L47989,296.9,307.6,1452,45.7,122,0
L47990,296.9,307.7,1550,39.7,124,0
L47991,296.8,307.6,1588,37.6,126,0
L47992,296.8,307.6,1338,44.4,128,0
L47993,296.8,307.6,1513,40,130,0
L47996,296.8,307.6,1434,48.3,138,0
L47997,296.8,307.6,1368,52,140,0
L47998,296.8,307.6,1304,48.7,142,0
L47999,296.8,307.6,1398,46.7,144,0
L48000,296.7,307.6,1516,37.4,146,0
L48001,296.7,307.6,1474,41.7,148,0
L48004,296.6,307.4,1436,42.8,156,0
L48005,296.6,307.3,1474,40,158,0
L48006,296.5,307.2,1481,38.2,160,0
L48007,296.5,307.3,1501,42.1,162,0
L48008,296.5,307.3,1566,37.2,164,0
L48009,296.5,307.3,1579,34.5,166,0
L48010,296.6,307.4,1631,35,168,0
L48012,296.6,307.4,1521,38.6,173,0
L48013,296.6,307.4,1616,28,175,0
L48016,296.6,307.4,1368,45.1,185,0
L48017,296.6,307.4,1465,47.8,187,0
L48020,296.6,307.5,1582,37.9,197,0
L48021,296.6,307.5,1439,45.5,199,0
L48023,296.6,307.5,1485,42.7,204,0
L48024,296.5,307.5,1566,35.1,206,0
L48025,296.3,307.3,1439,41.5,208,0
L48027,296.4,307.4,2833,5.6,213,1
L48028,296.3,307.4,1465,47.1,215,0
L48030,296.3,307.3,1567,31.4,5,0
L48033,296.3,307.3,1444,49,13,0
L48035,296.1,307.2,1615,30.8,18,0
L48036,296.1,307.1,1898,22.7,20,0
